"","eventtype_ID","name","code","goldstein","nsLeft","nsRight","description","usage_notes","example","root_code","order"
"1",1,"MAKE PUBLIC STATEMENT","01",0,1,22,NA,NA,NA,"01",1
"2",2,"Make statement","010",0,2,3,"All public statements expressed verbally or in action not otherwise specified. ","This residual category is not coded except when distinctions among 011 to 017 cannot be made. Note that statements are typically subordinate events; events such as comments are coded as mere statements only when they do not further imply appeals, agreements, support, apologies, demands, disapprovals, rejections, threats, etc. ","U.S. military chief General Colin Powell said on Wednesday NATO would need to remain strong. ","01",2
"3",3,"Decline comment","011",-0.1,4,5,"Explicitly decline or refuse to comment on a situation. ","This event form is a verbal act. The target could be who the source actor declines to make a comment to or about. ","NATO on Monday declined to comment on an estimate that Yugoslav army and special police troops in Kosovo were losing 90 to 100 dead per day in NATO air strikes. ","01",3
"4",4,"Make pessimistic comment","012",-0.4,6,7,"Express pessimism, negative outlook. ","This event form is a verbal act. Only statements with explicit pessimistic components should be coded as 012; otherwise, default to 010. ","Former West Germany Chancellor Willy Brandt said in a radio interview broadcast today he was skeptical over Moscow’s will to agree on limiting European-based nuclear weapons. ","01",4
"5",5,"Make optimistic comment","013",0.4,8,9,"Express optimism, assurance, confidence. ","This event form is a verbal act. Only statements with explicit optimistic components should be coded as 013; otherwise, default to 010. ","Turkish President Turgut Ozal said on Wednesday he was confident that the United States would remove irritants damaging relations between the two NATO allies. ","01",5
"6",6,"Consider policy option","014",0,10,11,"Review, reflect upon, or study policy option. ","This event form is typically, although not exclusively, a verbal act. There is no limitation on types of policies that could be under consideration. ","Europe’s leading security forum is exploring the possibility of international patrols to monitor the former Yugoslav republic of Macedonia’s border with Serbia, its envoy said on Friday. ","01",6
"7",7,"Acknowledge or claim responsibility","015",0,12,13,"Non-apologetically claim responsibility, admit an error or wrongdoing, or retract a statement without expression of remorse. ","This event form is a verbal act. Remorseful acknowledgements should be coded as ‘Apologize’ (064) instead. ","A Damascus-based Palestinian guerrilla group claimed responsibility on Saturday for attacks on Israeli troops from Jordan in the past two days. ","01",7
"8",8,"Deny responsibility","016",-5,14,15,"Discard or deny accusations or charges. ","This event form is a verbal act. The target for this event type is the party that introduces some accusation or charge against the source actor who denies responsibility. ","The government of Liberia denied on Thursday charges by Ivory Coast that Monrovia is committing genocide. ","01",8
"9",9,"Engage in symbolic act","017",0,16,17,"Engage in symbolic activities such as holding vigils, attending funerals, and laying wreath. ","Use this event form for all symbolic acts, including those that imply empathy. Use 018 to code only empathetic comments (i.e. not actions). ",NA,"01",9
"10",10,"Make empathetic comment","018",3.4,18,19,"Express empathy, condolences, sympathy, understanding. ","This event form refers exclusively to verbal acts or comments. Empathetic and other symbolic actions should be coded as 017 instead. ","Secretary-General Boutros Boutros-Ghali on Saturday expressed condolences to the United States for the death of three American diplomats. ","01",10
"11",11,"Express accord","019",3.4,20,21,"Express common understanding, agreement, or accord. ","This event form refers exclusively to verbal acts or comments. Use this code when actors indicate that they simply agree or concur on an issue but do not imply commitment or intent to cooperate on that issue. These are typically reciprocal events (see example below) and require coding of more than one 018 event with actors reversed. ","President Reagan and Egyptian President Hosni Mubarak agreed today there was an urgent need for progress towards a Middle East settlement and that a freeze on Israeli settlements in occupied territories was also needed. Note: Two reciprocal events (both 018) are coded with actors reversed. ","01",11
"12",12,"APPEAL","02",3,23,78,NA,NA,NA,"02",12
"13",13,"Make an appeal or request","020",3,24,25,"All requests, proposals, suggestions and appeals not otherwise specified. ","This residual category is not coded except when distinctions among 021 through 028 cannot be made. Events coded under this category refer to pleas made either on the source actor’s own behalf or on behalf of another party (i.e. the source asks that the target does something either for self or for a third party). Note that this and all the subcategories are distinct from demands, which are more forceful, and from pledges, which imply commitments, agreements, or promises on the part of the source actor. ",NA,"02",13
"14",14,"Appeal for material cooperation","021",3.4,26,35,"Make an appeal for, request, or suggest material cooperation. ","This event form is typically, though not exclusively, a verbal act. It refers to appeals for material cooperation specifically; appeals for diplomatic cooperation, such as for the provision of support on a particular policy, are coded as 022 instead. (Note that the actual events of material cooperation are coded under category 06.) ","Kenyan President Daniel Arap Moi on Monday urged Uganda to to repatriate “all Kenyan criminals hiding there” to face trial, accusing them of killing Kenyan policemen in cross-border raids recently. ","02",14
"15",15,"Appeal for economic cooperation","0211",3.4,27,28,"Make an appeal for, request, or suggest initiating or expanding economic ties. ","Use this code for requests to develop or expand trade and other forms of economic exchange. Appeals for provision of economic aid-not mutual exchange-are coded as 0231 instead. Actual events of economic cooperation are coded as 061. ","Indian business leaders Friday called for greater impetus towards free trade despite mounting tensions between India and Pakistan. ","02",15
"16",16,"Appeal for military cooperation","0212",3.4,29,30,"Make an appeal for, request, or suggest initiating or expanding military ties. ","Use this code for requests to develop or expand military relations by engaging in acts such as joint military maneuvers or exercises. Appeals for provision of military aid-not mutual exchange-are coded as 0232 instead. Actual events of military cooperation are coded as 062. ","South Korea has requested to lease a Russian military training ground, military officers in Seoul said on Thursday. ","02",16
"17",17,"Appeal for judicial cooperation","0213",3.4,31,32,"Make an appeal for, request, or suggest initiating or expanding cooperation in judicial matters. ","Use this code for requests to develop or expand cooperation in such matters as extraditions. Appeals for information or other investigative tools, even if to be used in courts of law, are coded as 0214 instead. Note that in case of extraditions, the target for this event type is not the subject but the country he would be extradited to. Actual events of judicial cooperation are coded as 063. ","Turkey renewed an appeal to Belgium to extradite a far-left militant wanted for murder, Justice Minister Cemil Cicek said Thursday, slamming what he called lax international cooperation against terrorism. ","02",17
