Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
32889836	2018-06-01	Foreign Affairs (Bangladesh)	Executive,Foreign Ministry,Government	Bangladesh	Consult	040	1	High Ranking Military Personnel (Vietnam)	Military,Government	Vietnam	47400351	2	Vietnam News Agency Bulletin	Hanoi	NA	Thanh Pho Ha Noi	Vietnam	21.0245	105.841
32889837	2018-06-01	High Ranking Military Personnel (Vietnam)	Military,Government	Vietnam	Consult	040	1	Foreign Affairs (Bangladesh)	Executive,Foreign Ministry,Government	Bangladesh	47400351	2	Vietnam News Agency Bulletin	Hanoi	NA	Thanh Pho Ha Noi	Vietnam	21.0245	105.841
32891290	2018-06-01	Ministry (Japan)	Government	Japan	Consider policy option	014	0	Citizen (Japan)	General Population / Civilian / Social,Social	Japan	47400357	5	Mainichi Daily News	Osaka	Osaka-shi	Osaka-fu	Japan	34.6937	135.502
32891065	2018-06-01	Japan	NA	Japan	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	Vietnam	NA	Vietnam	47400359	2	Vietnam News Agency Bulletin	NA	NA	NA	Japan	35.6149	139.581
32891064	2018-06-01	Vietnam	NA	Vietnam	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	Japan	NA	Japan	47400359	2	Vietnam News Agency Bulletin	NA	NA	NA	Vietnam	21.0245	105.841
32889838	2018-06-01	Government Official (Thailand)	Government	Thailand	Make statement	010	0	Head of Government (Thailand)	Executive,Government,Executive Office	Thailand	47400360	3	Organisation of Asia-Pacific News Agencies	Bangkok	NA	Krung Thep Mahanakhon	Thailand	13.754	100.501
32891059	2018-06-01	Aso Taro	Elite,Government,International Religious,(National) Major Party,Parties,Ideological,Center Right,Legislative / Parliamentary,Executive,Executive Office,Lower House,Finance / Economy / Commerce / Trade Ministry,Christian	Japan	Make an appeal or request	020	3	United States	NA	United States	47400361	2	Kyodo News	NA	NA	Washington D.C.	United States	38.9171	-77.0003
32891060	2018-06-01	Aso Taro	Elite,Government,International Religious,(National) Major Party,Parties,Ideological,Center Right,Legislative / Parliamentary,Executive,Executive Office,Lower House,Finance / Economy / Commerce / Trade Ministry,Christian	Japan	Express intent to cooperate	030	4	Steven Mnuchin	Government,Executive,Finance / Economy / Commerce / Trade Ministry	United States	47400361	3	Kyodo News	Whistler	NA	British Columbia	Canada	50.1164	-122.969
32891062	2018-06-01	Aso Taro	Elite,Government,International Religious,(National) Major Party,Parties,Ideological,Center Right,Legislative / Parliamentary,Executive,Executive Office,Lower House,Finance / Economy / Commerce / Trade Ministry,Christian	Japan	Meet at a 'third' location	044	2.5	Steven Mnuchin	Government,Executive,Finance / Economy / Commerce / Trade Ministry	United States	47400361	3	Kyodo News	NA	NA	Washington D.C.	United States	38.9171	-77.0003
32891061	2018-06-01	Steven Mnuchin	Government,Executive,Finance / Economy / Commerce / Trade Ministry	United States	Express intent to cooperate	030	4	Aso Taro	Elite,Government,International Religious,(National) Major Party,Parties,Ideological,Center Right,Legislative / Parliamentary,Executive,Executive Office,Lower House,Finance / Economy / Commerce / Trade Ministry,Christian	Japan	47400361	3	Kyodo News	Whistler	NA	British Columbia	Canada	50.1164	-122.969
32891063	2018-06-01	Steven Mnuchin	Government,Executive,Finance / Economy / Commerce / Trade Ministry	United States	Meet at a 'third' location	044	2.5	Aso Taro	Elite,Government,International Religious,(National) Major Party,Parties,Ideological,Center Right,Legislative / Parliamentary,Executive,Executive Office,Lower House,Finance / Economy / Commerce / Trade Ministry,Christian	Japan	47400361	3	Kyodo News	NA	NA	Washington D.C.	United States	38.9171	-77.0003
32891068	2018-06-01	Donald Trump	Government,Executive Office,Executive	United States	Demand diplomatic cooperation (such as policy support)	102	-5	China	NA	China	47400363	1	Indo-Asian News Service	Beijing	NA	Beijing Shi	China	39.9075	116.397
32891069	2018-06-01	Government (China)	Government	China	Criticize or denounce	111	-2	United States	NA	United States	47400363	6	Indo-Asian News Service	NA	NA	Paracel Islands	China	16.5	112.25
32889839	2018-06-01	Lawyer/Attorney (Australia)	Social,Legal	Australia	Accuse	112	-2	Citizen (Australia)	Social,General Population / Civilian / Social	Australia	47400369	6	Australian Associated Press	Collingwood	Yarra	State of Victoria	Australia	-37.8	144.983
